train,val
0.16914027537705548,0.14824460446834564
0.12262606710636303,0.1035434678196907
0.09976319214318528,0.09843423962593079
0.0976584835128437,0.09731266647577286
0.09661173876438531,0.09633520990610123
0.09504352322651394,0.09382837265729904
0.09128876811103202,0.08856377750635147
0.08442499282620466,0.08123906701803207
0.0777114439963345,0.07601094990968704
0.07359174589824623,0.0731397345662117
0.07113058292079162,0.07105965167284012
0.06889083040655676,0.06875907629728317
0.0656609440707645,0.06408502161502838
0.060925785621651476,0.05926996096968651
0.05647889426374327,0.05546334385871887
0.05250148377270015,0.051939405500888824
0.049835955026952615,0.049886055290699005
0.04794825752084573,0.047822512686252594
0.045856581299446,0.04574456065893173
0.04343660364395794,0.043215181678533554
0.04142755836638303,0.04171421751379967
0.04007500690218396,0.040508076548576355
0.03918082847665737,0.03985175862908363
0.03858603131496459,0.0392758809030056
0.038219915446533956,0.039189841598272324
0.03785026411656227,0.038488149642944336
0.03746122554520969,0.03829851746559143
0.03721081269682471,0.037775926291942596
0.03680321679316012,0.037404052913188934
0.03646668773123293,0.037053387612104416
0.03606459701834278,0.03687209263443947
0.035719231042303186,0.03635973855853081
0.035285000444577413,0.0360792838037014
0.03482156792344087,0.035374462604522705
0.03435023533724952,0.03530711680650711
0.033863885932102954,0.03489450737833977
0.03347362723282037,0.0342060886323452
0.03309310653985428,0.03414078801870346
0.032755977068354925,0.03362255543470383
0.03253899520608481,0.03351093456149101
0.03232646888213082,0.0332881398499012
0.03213444770874288,0.03296007215976715
0.032004187279831155,0.03275604546070099
0.031832704979574585,0.03282798454165459
0.03173736167755889,0.03277073800563812
0.03161623756548515,0.03239339962601662
0.03148446551633234,0.03240121901035309
0.031371991937308316,0.032135382294654846
0.031264916668403406,0.03225661814212799
0.031134680119068683,0.03219601884484291
0.030933947803556443,0.03175058960914612
0.030888561184800933,0.031810466200113297
0.03069284123043287,0.03153043985366821
0.030575213483423503,0.031224986538290977
0.03035624678732999,0.031237443909049034
0.03023147597417354,0.03091980703175068
0.03012709531920355,0.03083982691168785
0.02992162842672229,0.030640192329883575
0.02974760697876973,0.030436541885137558
0.029649131612447477,0.030235961079597473
0.029454811034349045,0.029980618506669998
0.02923429798890028,0.030037958174943924
0.02908254271549034,0.0297759547829628
0.02904104294977972,0.029539532959461212
0.028808521604815982,0.02952311933040619
0.028647787239618677,0.029349397867918015
0.02844362570326754,0.028931498527526855
0.02831630338199513,0.028816403821110725
0.028182361883125073,0.028700144961476326
0.028073706099418106,0.028660794720053673
0.027943791425336616,0.028490012511610985
0.027721314416590134,0.028263017535209656
0.02762348088727198,0.02818489447236061
0.027480908511662103,0.028040224686264992
0.02737090203686447,0.027849461883306503
0.027143650034503995,0.02765904739499092
0.027025932238455248,0.02739686146378517
0.02687852578375391,0.027418095618486404
0.0267621686595224,0.02731304056942463
0.026614436297015254,0.027102604508399963
0.026430171247957372,0.026943961158394814
0.026326787737500138,0.026761528104543686
0.026180732647747444,0.026635194197297096
0.026002668518153475,0.026623254641890526
0.025948556087088938,0.02636779472231865
0.02569991768898275,0.026105666533112526
0.02555265481264857,0.025967661291360855
0.025367202453391545,0.025721801444888115
0.025189783345734164,0.025611406192183495
0.024936307312770238,0.025463588535785675
0.02476629071293634,0.0251353420317173
0.024572678399828515,0.025052955374121666
0.024395845607940246,0.02475646883249283
0.024220821819563775,0.02447381615638733
0.02398145392079402,0.02444291301071644
0.02373038386805269,0.023987697437405586
0.023604029516209515,0.023944884538650513
0.023354482524461442,0.023786406964063644
0.02318704231675032,0.023385662585496902
0.02300282216612864,0.023222435265779495
0.02280399155833751,0.023128211498260498
0.022642833207213702,0.022925477474927902
0.022430103238294828,0.02280735969543457
0.022297339227826115,0.022675994783639908
0.022153634016441267,0.022516174241900444
0.022079221620325072,0.022472824901342392
0.021972646593488118,0.022466082125902176
0.021879271306394176,0.02237674407660961
0.021826004047917288,0.022321682423353195
0.021675085682799113,0.022139865905046463
0.02161139999309701,0.022211214527487755
0.021565341247633457,0.02207297645509243
0.02150432514906167,0.022053739055991173
0.021471166491627152,0.022038718685507774
0.02137978193567339,0.022032910957932472
0.02135484031400515,0.02201828546822071
0.02127730916757497,0.021818380802869797
0.021272463098897326,0.02194313518702984
0.021210231904080296,0.02190188318490982
0.02114987824285939,0.0217361468821764
0.02109066701671098,0.021741488948464394
0.02114657696179698,0.022081540897488594
0.021086161301404543,0.021644866093993187
0.02109490270250656,0.02184431068599224
0.021037007744537414,0.02167823724448681
0.021011435777474455,0.021557804197072983
0.020937946963042395,0.021779045462608337
0.020957613353266787,0.021560538560152054
0.020945868078742148,0.021520668640732765
0.020915917806386675,0.021416669711470604
0.02085237841591222,0.021394619718194008
0.02082862974323578,0.021338822320103645
0.020765667851162444,0.02152564935386181
0.0207568862124752,0.02133880741894245
0.02076842860913114,0.021247336640954018
0.020817445743663725,0.021617379039525986
0.020762278769372946,0.021373366937041283
0.02068599814017207,0.021318193525075912
0.020686044735967503,0.021273935213685036
0.02068878127954926,0.021290743723511696
0.020667939832533653,0.02123366855084896
0.020611324490591526,0.021187489852309227
0.020654502857701092,0.021267572417855263
0.02060660690204818,0.021115683019161224
0.02057045646884878,0.02103317715227604
0.020528234018010762,0.021272921934723854
0.020565096329181402,0.021002905443310738
0.020499567684544775,0.021071109920740128
0.02051367339878359,0.020911995321512222
0.020446337539113558,0.021029654890298843
0.020530310936221288,0.020984580740332603
0.02043332948017785,0.02096882462501526
0.020501030269963614,0.021178072318434715
0.02047649986906331,0.02100873552262783
0.020357701634994545,0.020955028012394905
0.020396675268215668,0.021130479872226715
0.020415644166700806,0.020950274541974068
0.020348284974168726,0.021056801080703735
0.020388681922569887,0.021025611087679863
0.02038262938324095,0.02097427286207676
0.02030235530641163,0.020916210487484932
0.020304977866281694,0.02088502235710621
0.020244378482115553,0.02095620334148407
0.02028335264933733,0.020913517102599144
0.020262318450334535,0.02076675184071064
0.020245977587345247,0.02082517184317112
0.02022736322079638,0.020905712619423866
0.020209039056057,0.02089618891477585
0.020208489054451623,0.020940495654940605
0.020221645203212422,0.021016495302319527
0.020168795838392636,0.02096955105662346
0.020175408116362745,0.020957807078957558
0.0201468137479615,0.02086746133863926
0.020098718328229803,0.020744211971759796
0.02005055303705498,0.020854301750659943
0.020067738644583777,0.02094508707523346
0.020044659977446103,0.02080543339252472
0.02000778334573403,0.02084941416978836
0.019998347363408244,0.020939301699399948
0.0199456605996695,0.020693453028798103
0.019936459730204463,0.020768912509083748
0.019946658581207095,0.02074965462088585
0.019931421425528357,0.020748062059283257
0.019895557788824736,0.02064160443842411
0.01984773063237553,0.02072993479669094
0.019858253990491775,0.02064991183578968
0.019837432342821964,0.020598120987415314
0.01974149123554683,0.020592523738741875
0.01961585190210733,0.020616773515939713
0.01960749048167528,0.020564105361700058
0.01958366390635536,0.020684601739048958
0.019548708161887998,0.02049303613603115
0.01947702936175469,0.020444588735699654
0.019382277666776526,0.020417213439941406
0.01944846904225249,0.02039330266416073
0.019328489887980537,0.020360160619020462
0.019231080343529362,0.02027839422225952
0.019190756412301387,0.020198587328195572
0.01917552560953523,0.020175175741314888
0.01904331019468207,0.020142709836363792
